
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns) | Med (ns) | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
|      0.0 |          776126 |       108 |   7186.4 |   7168.0 |     6784 |     7712 |       211.3 | nvjet_sm90_tst_72x64_64x12_2x4_h_bz_TNN                                                              |
|      0.0 |          760447 |        52 |  14624.0 |  14656.0 |    13823 |    15936 |       429.8 | nvjet_sm90_tst_128x120_64x6_1x2_h_bz_TNT                                                             |
|      0.0 |          732958 |       162 |   4524.4 |   4544.0 |     4064 |     5120 |       169.4 | nvjet_sm90_tst_64x24_64x16_1x2_h_bz_TNT                                                              |
|      0.0 |          704957 |        54 |  13054.8 |  13023.5 |    11744 |    14176 |       557.4 | nvjet_sm90_tst_64x176_64x7_1x2_h_bz_TNT                                                              |
|      0.0 |          702236 |        54 |  13004.4 |  12960.0 |    12672 |    13632 |       204.7 | nvjet_sm90_tst_192x72_64x6_1x4_h_bz_TNT                                                              |
|      0.0 |          691358 |        56 |  12345.7 |  11423.5 |    11136 |    37888 |      4786.2 | nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN                                                              |
|      0.0 |          674558 |       108 |   6245.9 |   6240.0 |     5984 |     6976 |        96.7 | nvjet_sm90_tst_128x200_64x5_2x1_v_bz_coopA_NNT                                                       |
|      0.0 |          630207 |        54 |  11670.5 |  11648.0 |    11392 |    12128 |       171.7 | nvjet_sm90_tst_96x128_64x7_2x4_h_bz_TNN                                                              |
|      0.0 |          628988 |        54 |  11647.9 |  11520.0 |    10784 |    12864 |       608.3 | nvjet_sm90_tst_64x152_64x7_1x2_h_bz_TNT                                                              |
|      0.0 |          609853 |        54 |  11293.6 |  11312.0 |    10784 |    11616 |       174.0 | nvjet_sm90_tst_144x64_64x8_1x2_h_bz_TNN                                                              |
|      0.0 |          605854 |        54 |  11219.5 |  11328.0 |    10336 |    11904 |       398.0 | nvjet_sm90_tst_128x64_64x8_2x1_v_bz_TNT                                                              |
|      0.0 |          584381 |       104 |   5619.0 |   5632.0 |     5280 |     5952 |       144.8 | nvjet_sm90_tst_64x8_64x16_1x4_h_bz_TNT                                                               |
|      0.0 |          581148 |        58 |  10019.8 |   7328.0 |     7104 |    47871 |      9957.3 | nvjet_sm90_tst_192x96_64x5_1x2_h_bz_TNT                                                              |
|      0.0 |          576638 |       108 |   5339.2 |   5312.0 |     5152 |     5920 |       114.9 | nvjet_sm90_tst_256x72_64x5_2x2_h_bz_NNT                                                              |
|      0.0 |          574205 |        52 |  11042.4 |  10960.0 |    10304 |    11744 |       370.3 | nvjet_sm90_tst_128x96_64x7_1x2_h_bz_TNT                                                              |
|      0.0 |          563996 |        54 |  10444.4 |  10464.0 |     9760 |    11328 |       324.5 | nvjet_sm90_tst_64x104_64x10_1x2_h_bz_TNT                                                             |
|      0.0 |          519775 |        54 |   9625.5 |   9536.0 |     9184 |    10304 |       270.2 | nvjet_sm90_tst_96x64_64x10_1x2_h_bz_TNN                                                              |
|      0.0 |          513791 |        54 |   9514.6 |   9504.0 |     9120 |    10176 |       219.6 | nvjet_sm90_tst_64x136_64x8_4x1_v_bz_TNT                                                              |
|      0.0 |          497215 |       392 |   1268.4 |   1248.0 |     1216 |     1632 |        36.9 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
|      0.0 |          495679 |       108 |   4589.6 |   4576.0 |     4416 |     5120 |        96.6 | nvjet_sm90_tst_128x96_64x7_1x2_h_bz_NNT                                                              |
|      0.0 |          488989 |        54 |   9055.4 |   8976.0 |     8416 |    10144 |       403.9 | nvjet_sm90_tst_176x64_64x7_2x1_v_bz_TNN                                                              |
|      0.0 |          466906 |       108 |   4323.2 |   4320.0 |     4160 |     4544 |        72.5 | nvjet_sm90_tst_64x48_64x15_1x2_h_bz_TNT                                                              |
|      0.0 |          449278 |       108 |   4160.0 |   4192.0 |     3872 |     4480 |       165.4 | nvjet_sm90_tst_64x152_64x7_2x1_v_bz_NNT                                                              |
|      0.0 |          443421 |       108 |   4105.8 |   4064.0 |     3968 |     4832 |       131.4 | nvjet_sm90_tst_64x64_64x13_1x2_h_bz_NNT                                                              |
|      0.0 |          438398 |        54 |   8118.5 |   8160.0 |     7712 |     8448 |       212.0 | nvjet_sm90_tst_72x64_64x12_1x2_h_bz_TNN                                                              |
|      0.0 |          437952 |       108 |   4055.1 |   4032.0 |     3904 |     4352 |        73.1 | nvjet_sm90_tst_64x56_64x14_1x2_h_bz_NNT                                                              |
|      0.0 |          326655 |        54 |   6049.2 |   6032.0 |     5792 |     6336 |       120.4 | nvjet_sm90_tst_128x120_64x6_4x2_h_bz_NNT                                                             |
|      0.0 |          323838 |        54 |   5997.0 |   5984.0 |     5664 |     6368 |       126.7 | nvjet_sm90_tst_128x80_64x8_1x4_h_bz_TNT                                                              |
|      0.0 |          323101 |        96 |   3365.6 |   3296.0 |     3168 |     3904 |       159.4 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
|      0.0 |          322047 |        54 |   5963.8 |   5952.0 |     5696 |     6272 |       116.4 | nvjet_sm90_tst_128x88_64x7_4x2_h_bz_TNT                                                              |
|      0.0 |          312735 |        54 |   5791.4 |   5792.0 |     5472 |     6016 |       112.2 | nvjet_sm90_tst_64x168_64x7_2x1_v_bz_TNT                                                              |
|      0.0 |          257248 |         6 |  42874.7 |  42640.0 |    42592 |    43616 |       425.7 | nvjet_sm90_tst_256x72_64x5_1x2_h_bz_TNT                                                              |
|      0.0 |          245406 |       266 |    922.6 |    928.0 |      895 |     1024 |        20.0 | void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<bool>, std::array<char *, (uns… |
|      0.0 |          241055 |        54 |   4464.0 |   4464.0 |     4224 |     4608 |        83.3 | nvjet_sm90_tst_64x24_64x16_4x1_v_bz_TNT                                                              |
|      0.0 |          231839 |        54 |   4293.3 |   4271.5 |     4128 |     5024 |       152.1 | nvjet_sm90_tst_64x72_64x12_2x1_v_bz_NNT                                                              |
|      0.0 |          227451 |        54 |   4212.1 |   4224.0 |     3967 |     4512 |        97.0 | nvjet_sm90_tst_64x32_64x16_2x2_h_bz_TNT                                                              |
|      0.0 |          225055 |        54 |   4167.7 |   4096.0 |     3936 |     4672 |       174.3 | nvjet_sm90_tst_48x64_64x15_4x2_h_bz_TNN                                                              |
|      0.0 |          222143 |        54 |   4113.8 |   4096.0 |     3968 |     4768 |       141.8 | nvjet_sm90_tst_64x16_64x16_2x2_h_bz_TNT                                                              |
|      0.0 |          215327 |        54 |   3987.5 |   3984.0 |     3648 |     4352 |       171.9 | nvjet_sm90_tst_64x24_64x16_4x2_h_bz_TNT                                                              |
|      0.0 |          213504 |        54 |   3953.8 |   3936.0 |     3776 |     4672 |       124.3 | nvjet_sm90_tst_64x24_64x16_2x4_h_bz_TNT                                                              |
|      0.0 |          210559 |        54 |   3899.2 |   3904.0 |     3775 |     4032 |        63.6 | nvjet_sm90_tst_64x88_64x11_4x1_v_bz_NNT                                                              |
|      0.0 |          206304 |        54 |   3820.4 |   3808.0 |     3648 |     4640 |       138.5 | nvjet_sm90_tst_64x72_64x12_4x1_v_bz_NNT                                                              |
|      0.0 |          193375 |        54 |   3581.0 |   3584.0 |     3456 |     3712 |        50.6 | nvjet_sm90_tst_64x40_64x16_4x2_h_bz_TNT                                                              |
|      0.0 |          121503 |         2 |  60751.5 |  60751.5 |    60703 |    60800 |        68.6 | nvjet_sm90_tst_168x128_64x5_1x2_h_bz_TNN                                                             |
|      0.0 |           66655 |        62 |   1075.1 |   1056.0 |     1055 |     1184 |        27.5 | void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<bool>, std::array<ch… |
|      0.0 |           26176 |        24 |   1090.7 |   1088.0 |     1056 |     1280 |        49.0 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch… |
+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
